11/6/2024 8:20:29 PM	 - 	User 'john.doe@kgs.com'	 User Logged In
11/6/2024 8:23:40 PM	 - 	Username: 'joel.kananelo@gmail.com'	 Failed Login Attempt
11/6/2024 8:23:41 PM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/6/2024 8:25:49 PM	 - 	Username: 'kaa'	 Failed Login Attempt
11/6/2024 8:28:39 PM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/6/2024 9:21:13 PM	 - 	Username: 'john.doe@kgs.com'	 Successful User Log In
11/6/2024 9:48:10 PM	 - 	Username: 'john.doe@kgs.com'	 Failed Login Attempt
11/6/2024 9:49:41 PM	 - 	Username: 'john.doe@kgs.com'	 User Logged out of system
11/6/2024 9:49:45 PM	 - 	Username: 'john.doe@kgs.com'	 Successful User Log In
11/6/2024 10:10:31 PM	 - 	Username: 'john.doe@kgs.com'	 Successful User Log In
11/6/2024 10:21:27 PM	 - 	Username: 'john.doe@kgs.com'	 User Logged out of system
11/6/2024 10:21:30 PM	 - 	Username: 'john.doe@kgs.com'	 Successful User Log In
11/7/2024 5:06:42 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 5:42:30 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:00:18 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:08:05 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:30:51 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:31:22 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:33:00 AM	 - 	Username: 'mary.jane@kgs.com'	 Failed Login Attempt
11/7/2024 6:33:04 AM	 - 	Username: 'mary.jane@kgs.com'	 Failed Login Attempt
11/7/2024 6:33:27 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:34:27 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:35:06 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:45:14 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:47:57 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:52:42 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:57:31 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 6:58:58 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 7:02:32 AM	 - 	Username: 'mary.jane@kgs.com'	 Successful User Log In
11/7/2024 7:07:42 AM	 - 	Username: 'john.doe@kgs.com'	 User Logged out of system
11/7/2024 7:09:14 AM	 - 	Username: 'john.doe@kgs.com'	 Successful User Log In
11/7/2024 7:10:26 AM	 - 	Username: 'mary.jane@kgs.com'	 User Logged out of system
11/7/2024 7:11:19 AM	 - 	Username: 'john.doe@kgs.com'	 User Logged out of system
11/7/2024 11:00:46 AM	 - 	Username: 'john.doe@kgs.com'	 Successful User Log In
